2025-09-30 09:04:13 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/resolve-cache/models/sentence-transformers/all-MiniLM-L6-v2/c9745ed1d9f207416be6d2e6f8de32d1f16199bf/1_Pooling%2Fconfig.json HTTP/1.1" 200 190
2025-09-30 09:04:13 | filelock | DEBUG    | _api.py:release:364 | Attempting to release lock 139274507561296 on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/d1514c3162bbe87b343f565fadc62e6c06f04f03.lock
2025-09-30 09:04:13 | filelock | DEBUG    | _api.py:release:367 | Lock 139274507561296 released on /home/ufuq_kamal/.cache/huggingface/hub/.locks/models--sentence-transformers--all-MiniLM-L6-v2/d1514c3162bbe87b343f565fadc62e6c06f04f03.lock
2025-09-30 09:04:13 | urllib3.connectionpool | DEBUG    | connectionpool.py:_make_request:544 | https://huggingface.co:443 "GET /api/models/sentence-transformers/all-MiniLM-L6-v2 HTTP/1.1" 200 6857
2025-09-30 09:04:13 | sulphite.main | INFO     | main.py:__init__:81 | Starting Sulphite Learning Assistant v2.0
2025-09-30 09:04:13 | sulphite.database | INFO     | database.py:__init__:67 | Database connection established: sulphite.db
2025-09-30 09:04:13 | sulphite.database | INFO     | logging_config.py:log_database_operation:193 | DB_OPERATION: database.py:110 | Operation: CREATE_TABLES | Details: {'tables': ['sessions', 'memory']}
2025-09-30 09:04:13 | sulphite.classification | INFO     | classification.py:__init__:89 | Classifier initialized successfully with Gemini 1.5 Flash model
2025-09-30 09:04:13 | sulphite.chat_service | INFO     | services.py:__init__:138 | Chat service initialized successfully with Gemini 2.0 Flash model
2025-09-30 09:04:13 | sulphite.database | INFO     | logging_config.py:log_database_operation:193 | DB_OPERATION: database.py:180 | Operation: GET_SESSION | Details: {'session_name': 'default', 'found': True}
2025-09-30 09:04:13 | sulphite.chat_service | INFO     | services.py:start_new_session:509 | Retrieved existing session: default (ID: 1)
2025-09-30 09:04:13 | sulphite.main | ERROR    | main.py:__init__:103 | Failed to initialize Sulphite application: 'ChatService' object has no attribute 'embedding_model'
2025-09-30 09:04:13 | sulphite.startup | ERROR    | main.py:main:528 | Fatal error during application startup: 'ChatService' object has no attribute 'embedding_model'
2025-09-30 09:04:13 | sulphite.database | INFO     | database.py:__del__:363 | Database connection closed
